lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-5.72405424,7.056564671063
SFPQ,hsa-miR-139-3p,JUN,-7.51353336,7.056564671063
SFPQ,hsa-miR-139-3p,JUN,-1.510383618,7.056564671063
SFPQ,hsa-miR-139-3p,JUN,1.836380005,7.056564671063
SFPQ,hsa-miR-139-3p,MIDN,-5.72405424,8.3281268488081
SFPQ,hsa-miR-139-3p,MIDN,-7.51353336,8.3281268488081
SFPQ,hsa-miR-139-3p,MIDN,-1.510383618,8.3281268488081
SFPQ,hsa-miR-139-3p,MIDN,1.836380005,8.3281268488081
SFPQ,hsa-miR-139-3p,CDS2,-5.72405424,7.6821464653737
SFPQ,hsa-miR-139-3p,CDS2,-7.51353336,7.6821464653737
SFPQ,hsa-miR-139-3p,CDS2,-1.510383618,7.6821464653737
SFPQ,hsa-miR-139-3p,CDS2,1.836380005,7.6821464653737
SFPQ,hsa-miR-139-3p,HNRNPF,-5.72405424,18.939097553162
SFPQ,hsa-miR-139-3p,HNRNPF,-7.51353336,18.939097553162
SFPQ,hsa-miR-139-3p,HNRNPF,-1.510383618,18.939097553162
SFPQ,hsa-miR-139-3p,HNRNPF,1.836380005,18.939097553162
SFPQ,hsa-miR-139-3p,PTGES3,-5.72405424,-3.374122911611
SFPQ,hsa-miR-139-3p,PTGES3,-7.51353336,-3.374122911611
SFPQ,hsa-miR-139-3p,PTGES3,-1.510383618,-3.374122911611
SFPQ,hsa-miR-139-3p,PTGES3,1.836380005,-3.374122911611
SFPQ,hsa-miR-139-3p,RTN4,-5.72405424,13.728295535031
SFPQ,hsa-miR-139-3p,RTN4,-7.51353336,13.728295535031
SFPQ,hsa-miR-139-3p,RTN4,-1.510383618,13.728295535031
SFPQ,hsa-miR-139-3p,RTN4,1.836380005,13.728295535031
SFPQ,hsa-miR-139-3p,APP,-5.72405424,32.88455536698
SFPQ,hsa-miR-139-3p,APP,-7.51353336,32.88455536698
SFPQ,hsa-miR-139-3p,APP,-1.510383618,32.88455536698
SFPQ,hsa-miR-139-3p,APP,1.836380005,32.88455536698
SFPQ,hsa-miR-139-3p,CKB,-5.72405424,8.2004105182933
SFPQ,hsa-miR-139-3p,CKB,-7.51353336,8.2004105182933
SFPQ,hsa-miR-139-3p,CKB,-1.510383618,8.2004105182933
SFPQ,hsa-miR-139-3p,CKB,1.836380005,8.2004105182933
SFPQ,hsa-miR-139-3p,VIM,-5.72405424,251.11150635917
SFPQ,hsa-miR-139-3p,VIM,-7.51353336,251.11150635917
SFPQ,hsa-miR-139-3p,VIM,-1.510383618,251.11150635917
SFPQ,hsa-miR-139-3p,VIM,1.836380005,251.11150635917
SFPQ,hsa-miR-139-3p,ZNF281,-5.72405424,-2.6752804373078
SFPQ,hsa-miR-139-3p,ZNF281,-7.51353336,-2.6752804373078
SFPQ,hsa-miR-139-3p,ZNF281,-1.510383618,-2.6752804373078
SFPQ,hsa-miR-139-3p,ZNF281,1.836380005,-2.6752804373078
SFPQ,hsa-miR-139-3p,NCKAP1,-5.72405424,-3.7343241313749
SFPQ,hsa-miR-139-3p,NCKAP1,-7.51353336,-3.7343241313749
SFPQ,hsa-miR-139-3p,NCKAP1,-1.510383618,-3.7343241313749
SFPQ,hsa-miR-139-3p,NCKAP1,1.836380005,-3.7343241313749
SFPQ,hsa-miR-139-3p,HMGB2,-5.72405424,1.2537824951692
SFPQ,hsa-miR-139-3p,HMGB2,-7.51353336,1.2537824951692
SFPQ,hsa-miR-139-3p,HMGB2,-1.510383618,1.2537824951692
SFPQ,hsa-miR-139-3p,HMGB2,1.836380005,1.2537824951692
SFPQ,hsa-miR-139-3p,DUSP1,-5.72405424,-12.290222350432
SFPQ,hsa-miR-139-3p,DUSP1,-7.51353336,-12.290222350432
SFPQ,hsa-miR-139-3p,DUSP1,-1.510383618,-12.290222350432
SFPQ,hsa-miR-139-3p,DUSP1,1.836380005,-12.290222350432
SFPQ,hsa-miR-139-3p,ZNF217,-5.72405424,5.61949444670701
SFPQ,hsa-miR-139-3p,ZNF217,-7.51353336,5.61949444670701
SFPQ,hsa-miR-139-3p,ZNF217,-1.510383618,5.61949444670701
SFPQ,hsa-miR-139-3p,ZNF217,1.836380005,5.61949444670701
SFPQ,hsa-miR-139-3p,NOB1,-5.72405424,1.8060132082324
SFPQ,hsa-miR-139-3p,NOB1,-7.51353336,1.8060132082324
SFPQ,hsa-miR-139-3p,NOB1,-1.510383618,1.8060132082324
SFPQ,hsa-miR-139-3p,NOB1,1.836380005,1.8060132082324
SFPQ,hsa-miR-139-3p,TMSB4X,-5.72405424,357.11661624539
SFPQ,hsa-miR-139-3p,TMSB4X,-7.51353336,357.11661624539
SFPQ,hsa-miR-139-3p,TMSB4X,-1.510383618,357.11661624539
SFPQ,hsa-miR-139-3p,TMSB4X,1.836380005,357.11661624539
SFPQ,hsa-miR-139-3p,AZIN1,-5.72405424,-2.84365620757799
SFPQ,hsa-miR-139-3p,AZIN1,-7.51353336,-2.84365620757799
SFPQ,hsa-miR-139-3p,AZIN1,-1.510383618,-2.84365620757799
SFPQ,hsa-miR-139-3p,AZIN1,1.836380005,-2.84365620757799
SFPQ,hsa-miR-139-3p,CD164,-5.72405424,-82.573931357486
SFPQ,hsa-miR-139-3p,CD164,-7.51353336,-82.573931357486
SFPQ,hsa-miR-139-3p,CD164,-1.510383618,-82.573931357486
SFPQ,hsa-miR-139-3p,CD164,1.836380005,-82.573931357486
SFPQ,hsa-miR-139-3p,HNRNPU,-5.72405424,2.45090193945799
SFPQ,hsa-miR-139-3p,HNRNPU,-7.51353336,2.45090193945799
SFPQ,hsa-miR-139-3p,HNRNPU,-1.510383618,2.45090193945799
SFPQ,hsa-miR-139-3p,HNRNPU,1.836380005,2.45090193945799
SFPQ,hsa-miR-139-3p,PNRC1,-5.72405424,-14.655637717485
SFPQ,hsa-miR-139-3p,PNRC1,-7.51353336,-14.655637717485
SFPQ,hsa-miR-139-3p,PNRC1,-1.510383618,-14.655637717485
SFPQ,hsa-miR-139-3p,PNRC1,1.836380005,-14.655637717485
SFPQ,hsa-miR-139-3p,MCL1,-5.72405424,-126.2704534074
SFPQ,hsa-miR-139-3p,MCL1,-7.51353336,-126.2704534074
SFPQ,hsa-miR-139-3p,MCL1,-1.510383618,-126.2704534074
SFPQ,hsa-miR-139-3p,MCL1,1.836380005,-126.2704534074
SFPQ,hsa-miR-139-3p,DYNLL2,-5.72405424,3.2106647041475
SFPQ,hsa-miR-139-3p,DYNLL2,-7.51353336,3.2106647041475
SFPQ,hsa-miR-139-3p,DYNLL2,-1.510383618,3.2106647041475
SFPQ,hsa-miR-139-3p,DYNLL2,1.836380005,3.2106647041475
SFPQ,hsa-miR-139-3p,YWHAQ,-5.72405424,4.32384636237902
SFPQ,hsa-miR-139-3p,YWHAQ,-7.51353336,4.32384636237902
SFPQ,hsa-miR-139-3p,YWHAQ,-1.510383618,4.32384636237902
SFPQ,hsa-miR-139-3p,YWHAQ,1.836380005,4.32384636237902
SFPQ,hsa-miR-139-3p,TGIF2,-5.72405424,10.5072946524731
SFPQ,hsa-miR-139-3p,TGIF2,-7.51353336,10.5072946524731
SFPQ,hsa-miR-139-3p,TGIF2,-1.510383618,10.5072946524731
SFPQ,hsa-miR-139-3p,TGIF2,1.836380005,10.5072946524731
SFPQ,hsa-miR-139-3p,ITM2B,-5.72405424,15.664233328781
SFPQ,hsa-miR-139-3p,ITM2B,-7.51353336,15.664233328781
SFPQ,hsa-miR-139-3p,ITM2B,-1.510383618,15.664233328781
SFPQ,hsa-miR-139-3p,ITM2B,1.836380005,15.664233328781
PPP4C,hsa-miR-490-3p,PCBP1,8.54160146,31.594438686163
PPP4C,hsa-miR-490-3p,PCBP1,-3.38743243,31.594438686163
PPP4C,hsa-miR-490-3p,PCBP1,2.59741892,31.594438686163
PPP4C,hsa-miR-490-3p,PCBP1,6.94784421,31.594438686163
PPP4C,hsa-miR-490-3p,HNRNPA1,8.54160146,16.647784846555
PPP4C,hsa-miR-490-3p,HNRNPA1,-3.38743243,16.647784846555
PPP4C,hsa-miR-490-3p,HNRNPA1,2.59741892,16.647784846555
PPP4C,hsa-miR-490-3p,HNRNPA1,6.94784421,16.647784846555
PPP4C,hsa-miR-490-3p,CDK1,8.54160146,-1.3529275398482
PPP4C,hsa-miR-490-3p,CDK1,-3.38743243,-1.3529275398482
PPP4C,hsa-miR-490-3p,CDK1,2.59741892,-1.3529275398482
PPP4C,hsa-miR-490-3p,CDK1,6.94784421,-1.3529275398482
PPP4C,hsa-miR-490-3p,CALM2,8.54160146,10.884889853852
PPP4C,hsa-miR-490-3p,CALM2,-3.38743243,10.884889853852
PPP4C,hsa-miR-490-3p,CALM2,2.59741892,10.884889853852
PPP4C,hsa-miR-490-3p,CALM2,6.94784421,10.884889853852
PPP4C,hsa-miR-490-3p,SMARCD1,8.54160146,1.7571122025193
PPP4C,hsa-miR-490-3p,SMARCD1,-3.38743243,1.7571122025193
PPP4C,hsa-miR-490-3p,SMARCD1,2.59741892,1.7571122025193
PPP4C,hsa-miR-490-3p,SMARCD1,6.94784421,1.7571122025193
PPP4C,hsa-miR-490-3p,RSRC2,8.54160146,-5.0814008720653
PPP4C,hsa-miR-490-3p,RSRC2,-3.38743243,-5.0814008720653
PPP4C,hsa-miR-490-3p,RSRC2,2.59741892,-5.0814008720653
PPP4C,hsa-miR-490-3p,RSRC2,6.94784421,-5.0814008720653
PPP4C,hsa-miR-490-3p,NUFIP2,8.54160146,-11.717502646991
