Gene,Regulation,Timepoint
lnc-AC114947.1.1-1,Up,1h
lnc-AC114947.1.1-2,Up,1h
lnc-AC114947.1.1-5,Up,1h
lnc-AC115989.1.1-5,Up,1h
lnc-AC115989.1.1-6,Up,1h
lnc-AC120194.1-2,Up,1h
lnc-AC125494.1-4,Up,1h
lnc-AC127496.3-1,Up,1h
lnc-AC127496.3-6,Up,1h
lnc-AC127496.3-8,Up,1h
lnc-AC131971.1-1,Up,1h
lnc-AC135050.1-4,Up,1h
lnc-AC135178.1-1,Up,1h
lnc-AC136604.1-2,Up,1h
lnc-AC136604.1-5,Up,1h
lnc-AC138647.1.1-6,Up,1h
lnc-AC139099.1-1,Up,1h
lnc-AC144568.2.1-4,Up,1h
lnc-AC145676.2.1-11,Up,1h
lnc-AC145676.2.1-3,Up,1h
lnc-AC233263.1-4,Up,1h
lnc-ACAA1-1,Up,1h
lnc-ACACB-1,Up,1h
lnc-ACAD11-1,Up,1h
lnc-ACADL-1,Up,1h
lnc-ACAP1-1,Up,1h
lnc-ACAP2-1,Up,1h
lnc-ACAT1-1,Up,1h
lnc-ACAT1-2,Up,1h
lnc-ACBD6-1,Up,1h
lnc-ACBD6-2,Up,1h
lnc-ACCSL-1,Up,1h
lnc-ACE-3,Up,1h
lnc-ACER2-5,Up,1h
lnc-ACMSD-2,Up,1h
lnc-ACMSD-5,Up,1h
lnc-ACOT9-3,Up,1h
lnc-ACP6-1,Up,1h
lnc-ACPP-1,Up,1h
lnc-ACR-1,Up,1h
lnc-ACSBG1-4,Up,1h
lnc-ACSL4-1,Up,1h
lnc-ACSM4-3,Up,1h
lnc-ACTG1-2,Up,1h
lnc-ACTL7B-2,Up,1h
lnc-ACTN1-1,Up,1h
lnc-ACTN2-1,Up,1h
lnc-ACTR10-1,Up,1h
lnc-ACTR2-8,Up,1h
lnc-ACTR3B-1,Up,1h
lnc-ACTR6-4,Up,1h
lnc-ACTR8-1,Up,1h
lnc-ACTR8-2,Up,1h
lnc-ACTRT1-3,Up,1h
lnc-ACVR1B-1,Up,1h
lnc-ACVR2A-4,Up,1h
lnc-ACY1-1,Up,1h
lnc-ACYP2-1,Up,1h
lnc-ADAM10-1,Up,1h
lnc-ADAM10-10,Up,1h
lnc-ADAM17-3,Up,1h
lnc-ADAM21-1,Up,1h
lnc-ADAM21-2,Up,1h
lnc-ADAM23-1,Up,1h
lnc-ADAM32-2,Up,1h
lnc-ADAM7-1,Up,1h
lnc-ADAM8-3,Up,1h
lnc-ADAMTS10-1,Up,1h
lnc-ADAMTS10-3,Up,1h
lnc-ADAMTS12-2,Up,1h
lnc-ADAMTS18-1,Up,1h
lnc-ADAMTS20-3,Up,1h
lnc-ADAMTS5-5,Up,1h
lnc-ADAMTSL4-4,Up,1h
lnc-ADAP1-3,Up,1h
lnc-ADAP2-2,Up,1h
lnc-ADAR-2,Up,1h
lnc-ADARB1-3,Up,1h
lnc-ADARB2-2,Up,1h
lnc-ADAT1-1,Up,1h
lnc-ADAT3-4,Up,1h
lnc-ADC-1,Up,1h
lnc-ADCK3-3,Up,1h
lnc-ADCK3-4,Up,1h
lnc-ADCY3-2,Up,1h
lnc-ADCY5-1,Up,1h
lnc-ADCY7-3,Up,1h
lnc-ADCY9-1,Up,1h
lnc-ADCYAP1-6,Up,1h
lnc-ADD3-6,Up,1h
lnc-ADIPOQ-3,Up,1h
lnc-ADIPOR2-1,Up,1h
lnc-ADPGK-3,Up,1h
lnc-ADRA1B-3,Up,1h
lnc-ADRA1D-3,Up,1h
lnc-ADRA2A-3,Up,1h
lnc-ADRB1-3,Up,1h
lnc-ADRBK2-2,Up,1h
lnc-ADSS-1,Up,1h
lnc-ADSSL1-1,Up,1h
lnc-AE000662.92.1-10,Up,1h
lnc-AE000662.92.1-3,Up,1h
lnc-AEN-3,Up,1h
lnc-AEN-4,Up,1h
lnc-AES-6,Up,1h
lnc-AF131215.2.1-1,Up,1h
lnc-AF131216.6.1-2,Up,1h
lnc-AFF1-3,Up,1h
lnc-AFG3L2-1,Up,1h
lnc-AGA-4,Up,1h
lnc-AGAP2-1,Up,1h
lnc-AGAP8-2,Up,1h
lnc-AGAP8-3,Up,1h
lnc-AGBL1-7,Up,1h
lnc-AGBL4-7,Up,1h
lnc-AGER-1,Up,1h
lnc-AGGF1-3,Up,1h
lnc-AGMAT-1,Up,1h
lnc-AGPAT4-1,Up,1h
lnc-AGPAT5-1,Up,1h
lnc-AGPAT9-2,Up,1h
lnc-AGPS-6,Up,1h
lnc-AGR3-1,Up,1h
lnc-AGRN-1,Up,1h
lnc-AGRN-2,Up,1h
lnc-AGRP-1,Up,1h
lnc-AGRP-4,Up,1h
lnc-AGT-3,Up,1h
lnc-AGTR1-1,Up,1h
lnc-AGXT2L2-1,Up,1h
lnc-AHCTF1-3,Up,1h
lnc-AHCY-3,Up,1h
lnc-AHCY-4,Up,1h
lnc-AHCY-5,Up,1h
lnc-AHSA2-3,Up,1h
lnc-AHSP-3,Up,1h
lnc-AIF1-1,Up,1h
lnc-AIF1-3,Up,1h
lnc-AIFM3-1,Up,1h
lnc-AIG1-4,Up,1h
lnc-AIG1-7,Up,1h
lnc-AIPL1-5,Up,1h
lnc-AK1-2,Up,1h
lnc-AK7-5,Up,1h
lnc-AKAP1-6,Up,1h
lnc-AKAP11-1,Up,1h
lnc-AKAP13-3,Up,1h
lnc-AKAP4-2,Up,1h
lnc-AKIRIN1-1,Up,1h
lnc-AKIRIN1-10,Up,1h
lnc-AKIRIN1-5,Up,1h
lnc-AKIRIN2-4,Up,1h
lnc-AKNA-3,Up,1h
lnc-AKR1A1-1,Up,1h
lnc-AKR1A1-2,Up,1h
lnc-AKR1B1-4,Up,1h
lnc-AKR1D1-6,Up,1h
lnc-AKR7A2-2,Up,1h
lnc-AKT3-7,Up,1h
lnc-AKTIP-4,Up,1h
lnc-AKTIP-6,Up,1h
lnc-AL020996.1-1,Up,1h
lnc-AL033381.1-2,Up,1h
lnc-AL033381.1-20,Up,1h
lnc-AL049840.1-2,Up,1h
lnc-AL078585.1-16,Up,1h
lnc-AL079342.1-2,Up,1h
lnc-AL117340.1-2,Up,1h
lnc-AL135998.1-1,Up,1h
lnc-AL136115.1-2,Up,1h
lnc-AL136219.1-4,Up,1h
lnc-AL137145.1-2,Up,1h
lnc-AL137145.1-9,Up,1h
lnc-AL139008.2-1,Up,1h
lnc-AL139099.1-2,Up,1h
lnc-AL160314.1-2,Up,1h
lnc-AL162407.1-1,Up,1h
lnc-AL353698.1-1,Up,1h
lnc-AL353997.5.1-6,Up,1h
lnc-AL355390.1-5,Up,1h
lnc-AL355490.1-1,Up,1h
lnc-AL358813.2-2,Up,1h
lnc-AL359853.2-1,Up,1h
lnc-AL365202.1-2,Up,1h
lnc-AL391137.1-2,Up,1h
lnc-AL391137.1-3,Up,1h
lnc-AL391152.1-1,Up,1h
lnc-AL391421.1-2,Up,1h
lnc-AL391421.1-8,Up,1h
lnc-AL445989.1-20,Up,1h
lnc-AL589645.1-1,Up,1h
lnc-AL590822.1-1,Up,1h
lnc-AL590867.1-4,Up,1h
lnc-AL592284.1-1,Up,1h
lnc-AL592284.1-3,Up,1h
lnc-AL603965.1-1,Up,1h
lnc-AL627171.1-4,Up,1h
lnc-AL669831.1-11,Up,1h
lnc-AL669831.1-5,Up,1h
