lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-3.153353733,11.385475566238
SFPQ,hsa-miR-139-3p,JUN,11.11846163,11.385475566238
SFPQ,hsa-miR-139-3p,JUN,2.805512284,11.385475566238
SFPQ,hsa-miR-139-3p,MIDN,-3.153353733,2.96562904955299
SFPQ,hsa-miR-139-3p,MIDN,11.11846163,2.96562904955299
SFPQ,hsa-miR-139-3p,MIDN,2.805512284,2.96562904955299
SFPQ,hsa-miR-139-3p,CDS2,-3.153353733,9.8840005642022
SFPQ,hsa-miR-139-3p,CDS2,11.11846163,9.8840005642022
SFPQ,hsa-miR-139-3p,CDS2,2.805512284,9.8840005642022
SFPQ,hsa-miR-139-3p,HNRNPF,-3.153353733,70.160691155689
SFPQ,hsa-miR-139-3p,HNRNPF,11.11846163,70.160691155689
SFPQ,hsa-miR-139-3p,HNRNPF,2.805512284,70.160691155689
SFPQ,hsa-miR-139-3p,PTGES3,-3.153353733,55.823833861065
SFPQ,hsa-miR-139-3p,PTGES3,11.11846163,55.823833861065
SFPQ,hsa-miR-139-3p,PTGES3,2.805512284,55.823833861065
SFPQ,hsa-miR-139-3p,RTN4,-3.153353733,70.28053795426
SFPQ,hsa-miR-139-3p,RTN4,11.11846163,70.28053795426
SFPQ,hsa-miR-139-3p,RTN4,2.805512284,70.28053795426
SFPQ,hsa-miR-139-3p,APP,-3.153353733,32.925509771206
SFPQ,hsa-miR-139-3p,APP,11.11846163,32.925509771206
SFPQ,hsa-miR-139-3p,APP,2.805512284,32.925509771206
SFPQ,hsa-miR-139-3p,CKB,-3.153353733,6.5754250024123
SFPQ,hsa-miR-139-3p,CKB,11.11846163,6.5754250024123
SFPQ,hsa-miR-139-3p,CKB,2.805512284,6.5754250024123
SFPQ,hsa-miR-139-3p,VIM,-3.153353733,973.38758453509
SFPQ,hsa-miR-139-3p,VIM,11.11846163,973.38758453509
SFPQ,hsa-miR-139-3p,VIM,2.805512284,973.38758453509
SFPQ,hsa-miR-139-3p,LRPPRC,-3.153353733,29.554345027665
SFPQ,hsa-miR-139-3p,LRPPRC,11.11846163,29.554345027665
SFPQ,hsa-miR-139-3p,LRPPRC,2.805512284,29.554345027665
SFPQ,hsa-miR-139-3p,ZNF281,-3.153353733,20.209421633997
SFPQ,hsa-miR-139-3p,ZNF281,11.11846163,20.209421633997
SFPQ,hsa-miR-139-3p,ZNF281,2.805512284,20.209421633997
SFPQ,hsa-miR-139-3p,NCKAP1,-3.153353733,10.5195163964962
SFPQ,hsa-miR-139-3p,NCKAP1,11.11846163,10.5195163964962
SFPQ,hsa-miR-139-3p,NCKAP1,2.805512284,10.5195163964962
SFPQ,hsa-miR-139-3p,HMGB2,-3.153353733,9.2624673678513
SFPQ,hsa-miR-139-3p,HMGB2,11.11846163,9.2624673678513
SFPQ,hsa-miR-139-3p,HMGB2,2.805512284,9.2624673678513
SFPQ,hsa-miR-139-3p,DUSP1,-3.153353733,18.827435654329
SFPQ,hsa-miR-139-3p,DUSP1,11.11846163,18.827435654329
SFPQ,hsa-miR-139-3p,DUSP1,2.805512284,18.827435654329
SFPQ,hsa-miR-139-3p,ZNF217,-3.153353733,23.108036709334
SFPQ,hsa-miR-139-3p,ZNF217,11.11846163,23.108036709334
SFPQ,hsa-miR-139-3p,ZNF217,2.805512284,23.108036709334
SFPQ,hsa-miR-139-3p,ZNF585B,-3.153353733,2.6224840233986
SFPQ,hsa-miR-139-3p,ZNF585B,11.11846163,2.6224840233986
SFPQ,hsa-miR-139-3p,ZNF585B,2.805512284,2.6224840233986
SFPQ,hsa-miR-139-3p,NOB1,-3.153353733,6.453122571666
