lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,5.16988186,38.564139253198
SFPQ,hsa-miR-139-3p,JUN,29.36503178,38.564139253198
SFPQ,hsa-miR-139-3p,JUN,-1.203245645,38.564139253198
SFPQ,hsa-miR-139-3p,MIDN,5.16988186,4.5390645886677
SFPQ,hsa-miR-139-3p,MIDN,29.36503178,4.5390645886677
SFPQ,hsa-miR-139-3p,MIDN,-1.203245645,4.5390645886677
SFPQ,hsa-miR-139-3p,CDS2,5.16988186,3.7324350673038
SFPQ,hsa-miR-139-3p,CDS2,29.36503178,3.7324350673038
SFPQ,hsa-miR-139-3p,CDS2,-1.203245645,3.7324350673038
SFPQ,hsa-miR-139-3p,HNRNPF,5.16988186,2.68018209283298
SFPQ,hsa-miR-139-3p,HNRNPF,29.36503178,2.68018209283298
SFPQ,hsa-miR-139-3p,HNRNPF,-1.203245645,2.68018209283298
SFPQ,hsa-miR-139-3p,PTGES3,5.16988186,39.394730047888
SFPQ,hsa-miR-139-3p,PTGES3,29.36503178,39.394730047888
SFPQ,hsa-miR-139-3p,PTGES3,-1.203245645,39.394730047888
SFPQ,hsa-miR-139-3p,RTN4,5.16988186,50.137445048835
SFPQ,hsa-miR-139-3p,RTN4,29.36503178,50.137445048835
SFPQ,hsa-miR-139-3p,RTN4,-1.203245645,50.137445048835
SFPQ,hsa-miR-139-3p,APP,5.16988186,29.978152160322
SFPQ,hsa-miR-139-3p,APP,29.36503178,29.978152160322
SFPQ,hsa-miR-139-3p,APP,-1.203245645,29.978152160322
SFPQ,hsa-miR-139-3p,CKB,5.16988186,4.2512739186432
SFPQ,hsa-miR-139-3p,CKB,29.36503178,4.2512739186432
SFPQ,hsa-miR-139-3p,CKB,-1.203245645,4.2512739186432
SFPQ,hsa-miR-139-3p,VIM,5.16988186,498.79014251024
SFPQ,hsa-miR-139-3p,VIM,29.36503178,498.79014251024
SFPQ,hsa-miR-139-3p,VIM,-1.203245645,498.79014251024
SFPQ,hsa-miR-139-3p,LRPPRC,5.16988186,12.043808749747
SFPQ,hsa-miR-139-3p,LRPPRC,29.36503178,12.043808749747
SFPQ,hsa-miR-139-3p,LRPPRC,-1.203245645,12.043808749747
SFPQ,hsa-miR-139-3p,NCKAP1,5.16988186,2.3439817969125
SFPQ,hsa-miR-139-3p,NCKAP1,29.36503178,2.3439817969125
SFPQ,hsa-miR-139-3p,NCKAP1,-1.203245645,2.3439817969125
SFPQ,hsa-miR-139-3p,HMGB2,5.16988186,2.5007476608177
SFPQ,hsa-miR-139-3p,HMGB2,29.36503178,2.5007476608177
SFPQ,hsa-miR-139-3p,HMGB2,-1.203245645,2.5007476608177
SFPQ,hsa-miR-139-3p,DUSP1,5.16988186,4.98168337766401
SFPQ,hsa-miR-139-3p,DUSP1,29.36503178,4.98168337766401
SFPQ,hsa-miR-139-3p,DUSP1,-1.203245645,4.98168337766401
SFPQ,hsa-miR-139-3p,ZNF217,5.16988186,20.914569302248
SFPQ,hsa-miR-139-3p,ZNF217,29.36503178,20.914569302248
SFPQ,hsa-miR-139-3p,ZNF217,-1.203245645,20.914569302248
SFPQ,hsa-miR-139-3p,NOB1,5.16988186,7.817193797638
SFPQ,hsa-miR-139-3p,NOB1,29.36503178,7.817193797638
SFPQ,hsa-miR-139-3p,NOB1,-1.203245645,7.817193797638
