lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-1.177729663,-29.2418703803
SFPQ,hsa-miR-139-3p,JUN,10.9599536,-29.2418703803
SFPQ,hsa-miR-139-3p,JUN,-2.101094987,-29.2418703803
SFPQ,hsa-miR-139-3p,CDS2,-1.177729663,6.1394834198753
SFPQ,hsa-miR-139-3p,CDS2,10.9599536,6.1394834198753
SFPQ,hsa-miR-139-3p,CDS2,-2.101094987,6.1394834198753
SFPQ,hsa-miR-139-3p,HNRNPF,-1.177729663,13.110858938817
SFPQ,hsa-miR-139-3p,HNRNPF,10.9599536,13.110858938817
SFPQ,hsa-miR-139-3p,HNRNPF,-2.101094987,13.110858938817
SFPQ,hsa-miR-139-3p,PTGES3,-1.177729663,40.8536803758075
SFPQ,hsa-miR-139-3p,PTGES3,10.9599536,40.8536803758075
SFPQ,hsa-miR-139-3p,PTGES3,-2.101094987,40.8536803758075
SFPQ,hsa-miR-139-3p,RTN4,-1.177729663,71.025796781762
SFPQ,hsa-miR-139-3p,RTN4,10.9599536,71.025796781762
SFPQ,hsa-miR-139-3p,RTN4,-2.101094987,71.025796781762
SFPQ,hsa-miR-139-3p,APP,-1.177729663,25.549016606428
SFPQ,hsa-miR-139-3p,APP,10.9599536,25.549016606428
SFPQ,hsa-miR-139-3p,APP,-2.101094987,25.549016606428
SFPQ,hsa-miR-139-3p,VIM,-1.177729663,62.3634523784499
SFPQ,hsa-miR-139-3p,VIM,10.9599536,62.3634523784499
SFPQ,hsa-miR-139-3p,VIM,-2.101094987,62.3634523784499
SFPQ,hsa-miR-139-3p,LRPPRC,-1.177729663,17.263790974893
SFPQ,hsa-miR-139-3p,LRPPRC,10.9599536,17.263790974893
SFPQ,hsa-miR-139-3p,LRPPRC,-2.101094987,17.263790974893
SFPQ,hsa-miR-139-3p,ZNF281,-1.177729663,1.1084722793788
SFPQ,hsa-miR-139-3p,ZNF281,10.9599536,1.1084722793788
SFPQ,hsa-miR-139-3p,ZNF281,-2.101094987,1.1084722793788
SFPQ,hsa-miR-139-3p,NCKAP1,-1.177729663,-3.8392291125212
SFPQ,hsa-miR-139-3p,NCKAP1,10.9599536,-3.8392291125212
SFPQ,hsa-miR-139-3p,NCKAP1,-2.101094987,-3.8392291125212
SFPQ,hsa-miR-139-3p,HMGB2,-1.177729663,6.3669637675445
SFPQ,hsa-miR-139-3p,HMGB2,10.9599536,6.3669637675445
SFPQ,hsa-miR-139-3p,HMGB2,-2.101094987,6.3669637675445
SFPQ,hsa-miR-139-3p,DUSP1,-1.177729663,-47.198977117814
SFPQ,hsa-miR-139-3p,DUSP1,10.9599536,-47.198977117814
SFPQ,hsa-miR-139-3p,DUSP1,-2.101094987,-47.198977117814
SFPQ,hsa-miR-139-3p,ZNF217,-1.177729663,5.191828932315
SFPQ,hsa-miR-139-3p,ZNF217,10.9599536,5.191828932315
SFPQ,hsa-miR-139-3p,ZNF217,-2.101094987,5.191828932315
SFPQ,hsa-miR-139-3p,ZNF585B,-1.177729663,3.41649301091071
SFPQ,hsa-miR-139-3p,ZNF585B,10.9599536,3.41649301091071
SFPQ,hsa-miR-139-3p,ZNF585B,-2.101094987,3.41649301091071
SFPQ,hsa-miR-139-3p,NDRG4,-1.177729663,-1.61150756822344
SFPQ,hsa-miR-139-3p,NDRG4,10.9599536,-1.61150756822344
SFPQ,hsa-miR-139-3p,NDRG4,-2.101094987,-1.61150756822344
SFPQ,hsa-miR-139-3p,NOB1,-1.177729663,10.9968818827636
SFPQ,hsa-miR-139-3p,NOB1,10.9599536,10.9968818827636
SFPQ,hsa-miR-139-3p,NOB1,-2.101094987,10.9968818827636
SFPQ,hsa-miR-139-3p,TMSB4X,-1.177729663,519.39948987964
SFPQ,hsa-miR-139-3p,TMSB4X,10.9599536,519.39948987964
SFPQ,hsa-miR-139-3p,TMSB4X,-2.101094987,519.39948987964
SFPQ,hsa-miR-139-3p,AZIN1,-1.177729663,50.454448239941
SFPQ,hsa-miR-139-3p,AZIN1,10.9599536,50.454448239941
SFPQ,hsa-miR-139-3p,AZIN1,-2.101094987,50.454448239941
SFPQ,hsa-miR-139-3p,CD164,-1.177729663,115.200781064556
SFPQ,hsa-miR-139-3p,CD164,10.9599536,115.200781064556
SFPQ,hsa-miR-139-3p,CD164,-2.101094987,115.200781064556
SFPQ,hsa-miR-139-3p,HNRNPU,-1.177729663,35.983356715032
SFPQ,hsa-miR-139-3p,HNRNPU,10.9599536,35.983356715032
SFPQ,hsa-miR-139-3p,HNRNPU,-2.101094987,35.983356715032
SFPQ,hsa-miR-139-3p,PNRC1,-1.177729663,1.514125699326
SFPQ,hsa-miR-139-3p,PNRC1,10.9599536,1.514125699326
SFPQ,hsa-miR-139-3p,PNRC1,-2.101094987,1.514125699326
SFPQ,hsa-miR-139-3p,MCL1,-1.177729663,23.52032070934
SFPQ,hsa-miR-139-3p,MCL1,10.9599536,23.52032070934
SFPQ,hsa-miR-139-3p,MCL1,-2.101094987,23.52032070934
SFPQ,hsa-miR-139-3p,DYNLL2,-1.177729663,1.4716573430486
SFPQ,hsa-miR-139-3p,DYNLL2,10.9599536,1.4716573430486
SFPQ,hsa-miR-139-3p,DYNLL2,-2.101094987,1.4716573430486
SFPQ,hsa-miR-139-3p,YWHAQ,-1.177729663,40.597652876643
SFPQ,hsa-miR-139-3p,YWHAQ,10.9599536,40.597652876643
SFPQ,hsa-miR-139-3p,YWHAQ,-2.101094987,40.597652876643
SFPQ,hsa-miR-139-3p,KDM6B,-1.177729663,8.334947792421
SFPQ,hsa-miR-139-3p,KDM6B,10.9599536,8.334947792421
SFPQ,hsa-miR-139-3p,KDM6B,-2.101094987,8.334947792421
SFPQ,hsa-miR-139-3p,ATP1B1,-1.177729663,1.610994948655
SFPQ,hsa-miR-139-3p,ATP1B1,10.9599536,1.610994948655
SFPQ,hsa-miR-139-3p,ATP1B1,-2.101094987,1.610994948655
SFPQ,hsa-miR-139-3p,TGIF2,-1.177729663,-9.9243648207912
SFPQ,hsa-miR-139-3p,TGIF2,10.9599536,-9.9243648207912
SFPQ,hsa-miR-139-3p,TGIF2,-2.101094987,-9.9243648207912
SFPQ,hsa-miR-139-3p,ITM2B,-1.177729663,60.937985915262
SFPQ,hsa-miR-139-3p,ITM2B,10.9599536,60.937985915262
SFPQ,hsa-miR-139-3p,ITM2B,-2.101094987,60.937985915262
SFPQ,hsa-miR-139-3p,MFSD6,-1.177729663,-2.19035878028309
SFPQ,hsa-miR-139-3p,MFSD6,10.9599536,-2.19035878028309
SFPQ,hsa-miR-139-3p,MFSD6,-2.101094987,-2.19035878028309
SFPQ,hsa-miR-139-3p,ADIPOR2,-1.177729663,-3.9655524149878
SFPQ,hsa-miR-139-3p,ADIPOR2,10.9599536,-3.9655524149878
