lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-2.952336428,37.795313801361
SFPQ,hsa-miR-139-3p,JUN,-10.23786546,37.795313801361
SFPQ,hsa-miR-139-3p,JUN,-3.621574497,37.795313801361
SFPQ,hsa-miR-139-3p,CDS2,-2.952336428,1.6927656339617
SFPQ,hsa-miR-139-3p,CDS2,-10.23786546,1.6927656339617
SFPQ,hsa-miR-139-3p,CDS2,-3.621574497,1.6927656339617
SFPQ,hsa-miR-139-3p,HNRNPF,-2.952336428,11.514188426789
SFPQ,hsa-miR-139-3p,HNRNPF,-10.23786546,11.514188426789
SFPQ,hsa-miR-139-3p,HNRNPF,-3.621574497,11.514188426789
SFPQ,hsa-miR-139-3p,PTGES3,-2.952336428,16.738804301483
SFPQ,hsa-miR-139-3p,PTGES3,-10.23786546,16.738804301483
SFPQ,hsa-miR-139-3p,PTGES3,-3.621574497,16.738804301483
SFPQ,hsa-miR-139-3p,RTN4,-2.952336428,35.488570504266
SFPQ,hsa-miR-139-3p,RTN4,-10.23786546,35.488570504266
SFPQ,hsa-miR-139-3p,RTN4,-3.621574497,35.488570504266
SFPQ,hsa-miR-139-3p,APP,-2.952336428,7.60861155583902
SFPQ,hsa-miR-139-3p,APP,-10.23786546,7.60861155583902
SFPQ,hsa-miR-139-3p,APP,-3.621574497,7.60861155583902
SFPQ,hsa-miR-139-3p,CKB,-2.952336428,5.5554501674488
SFPQ,hsa-miR-139-3p,CKB,-10.23786546,5.5554501674488
SFPQ,hsa-miR-139-3p,CKB,-3.621574497,5.5554501674488
SFPQ,hsa-miR-139-3p,VIM,-2.952336428,201.13599000267
SFPQ,hsa-miR-139-3p,VIM,-10.23786546,201.13599000267
SFPQ,hsa-miR-139-3p,VIM,-3.621574497,201.13599000267
SFPQ,hsa-miR-139-3p,ZNF281,-2.952336428,-10.5332458178727
SFPQ,hsa-miR-139-3p,ZNF281,-10.23786546,-10.5332458178727
SFPQ,hsa-miR-139-3p,ZNF281,-3.621574497,-10.5332458178727
SFPQ,hsa-miR-139-3p,NCKAP1,-2.952336428,-2.6862564904914
SFPQ,hsa-miR-139-3p,NCKAP1,-10.23786546,-2.6862564904914
SFPQ,hsa-miR-139-3p,NCKAP1,-3.621574497,-2.6862564904914
SFPQ,hsa-miR-139-3p,HMGB2,-2.952336428,8.8558254464579
SFPQ,hsa-miR-139-3p,HMGB2,-10.23786546,8.8558254464579
SFPQ,hsa-miR-139-3p,HMGB2,-3.621574497,8.8558254464579
SFPQ,hsa-miR-139-3p,DUSP1,-2.952336428,-17.047249416603
SFPQ,hsa-miR-139-3p,DUSP1,-10.23786546,-17.047249416603
SFPQ,hsa-miR-139-3p,DUSP1,-3.621574497,-17.047249416603
SFPQ,hsa-miR-139-3p,ZNF217,-2.952336428,5.95988017977101
SFPQ,hsa-miR-139-3p,ZNF217,-10.23786546,5.95988017977101
SFPQ,hsa-miR-139-3p,ZNF217,-3.621574497,5.95988017977101
SFPQ,hsa-miR-139-3p,ZNF585B,-2.952336428,1.2591719025592
SFPQ,hsa-miR-139-3p,ZNF585B,-10.23786546,1.2591719025592
SFPQ,hsa-miR-139-3p,ZNF585B,-3.621574497,1.2591719025592
SFPQ,hsa-miR-139-3p,NOB1,-2.952336428,6.7363945445875
SFPQ,hsa-miR-139-3p,NOB1,-10.23786546,6.7363945445875
SFPQ,hsa-miR-139-3p,NOB1,-3.621574497,6.7363945445875
SFPQ,hsa-miR-139-3p,TMSB4X,-2.952336428,429.87482624872
SFPQ,hsa-miR-139-3p,TMSB4X,-10.23786546,429.87482624872
SFPQ,hsa-miR-139-3p,TMSB4X,-3.621574497,429.87482624872
SFPQ,hsa-miR-139-3p,CD164,-2.952336428,-27.261477828277
SFPQ,hsa-miR-139-3p,CD164,-10.23786546,-27.261477828277
SFPQ,hsa-miR-139-3p,CD164,-3.621574497,-27.261477828277
SFPQ,hsa-miR-139-3p,HNRNPU,-2.952336428,14.842482849517
SFPQ,hsa-miR-139-3p,HNRNPU,-10.23786546,14.842482849517
SFPQ,hsa-miR-139-3p,HNRNPU,-3.621574497,14.842482849517
SFPQ,hsa-miR-139-3p,PNRC1,-2.952336428,25.8043570147071
SFPQ,hsa-miR-139-3p,PNRC1,-10.23786546,25.8043570147071
SFPQ,hsa-miR-139-3p,PNRC1,-3.621574497,25.8043570147071
SFPQ,hsa-miR-139-3p,MCL1,-2.952336428,-19.1956003175901
SFPQ,hsa-miR-139-3p,MCL1,-10.23786546,-19.1956003175901
SFPQ,hsa-miR-139-3p,MCL1,-3.621574497,-19.1956003175901
SFPQ,hsa-miR-139-3p,DYNLL2,-2.952336428,1.7557120410798
SFPQ,hsa-miR-139-3p,DYNLL2,-10.23786546,1.7557120410798
SFPQ,hsa-miR-139-3p,DYNLL2,-3.621574497,1.7557120410798
SFPQ,hsa-miR-139-3p,YWHAQ,-2.952336428,44.855806628058
SFPQ,hsa-miR-139-3p,YWHAQ,-10.23786546,44.855806628058
SFPQ,hsa-miR-139-3p,YWHAQ,-3.621574497,44.855806628058
SFPQ,hsa-miR-139-3p,KDM6B,-2.952336428,1.3057850889787
SFPQ,hsa-miR-139-3p,KDM6B,-10.23786546,1.3057850889787
SFPQ,hsa-miR-139-3p,KDM6B,-3.621574497,1.3057850889787
