lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-1.21523697,34.219662409305
SFPQ,hsa-miR-139-3p,JUN,-18.52360334,34.219662409305
SFPQ,hsa-miR-139-3p,JUN,1.148820301,34.219662409305
SFPQ,hsa-miR-139-3p,MIDN,-1.21523697,2.125595517679
SFPQ,hsa-miR-139-3p,MIDN,-18.52360334,2.125595517679
SFPQ,hsa-miR-139-3p,MIDN,1.148820301,2.125595517679
SFPQ,hsa-miR-139-3p,CDS2,-1.21523697,6.9023734181192
SFPQ,hsa-miR-139-3p,CDS2,-18.52360334,6.9023734181192
SFPQ,hsa-miR-139-3p,CDS2,1.148820301,6.9023734181192
SFPQ,hsa-miR-139-3p,HNRNPF,-1.21523697,43.053491982124
SFPQ,hsa-miR-139-3p,HNRNPF,-18.52360334,43.053491982124
SFPQ,hsa-miR-139-3p,HNRNPF,1.148820301,43.053491982124
SFPQ,hsa-miR-139-3p,PTGES3,-1.21523697,10.94549562155
SFPQ,hsa-miR-139-3p,PTGES3,-18.52360334,10.94549562155
SFPQ,hsa-miR-139-3p,PTGES3,1.148820301,10.94549562155
SFPQ,hsa-miR-139-3p,RTN4,-1.21523697,75.211122952064
SFPQ,hsa-miR-139-3p,RTN4,-18.52360334,75.211122952064
SFPQ,hsa-miR-139-3p,RTN4,1.148820301,75.211122952064
SFPQ,hsa-miR-139-3p,APP,-1.21523697,46.707878784491
SFPQ,hsa-miR-139-3p,APP,-18.52360334,46.707878784491
SFPQ,hsa-miR-139-3p,APP,1.148820301,46.707878784491
SFPQ,hsa-miR-139-3p,CKB,-1.21523697,6.3669396303046
SFPQ,hsa-miR-139-3p,CKB,-18.52360334,6.3669396303046
SFPQ,hsa-miR-139-3p,CKB,1.148820301,6.3669396303046
SFPQ,hsa-miR-139-3p,VIM,-1.21523697,946.525553441169
SFPQ,hsa-miR-139-3p,VIM,-18.52360334,946.525553441169
SFPQ,hsa-miR-139-3p,VIM,1.148820301,946.525553441169
SFPQ,hsa-miR-139-3p,LRPPRC,-1.21523697,-21.492620725364
SFPQ,hsa-miR-139-3p,LRPPRC,-18.52360334,-21.492620725364
SFPQ,hsa-miR-139-3p,LRPPRC,1.148820301,-21.492620725364
SFPQ,hsa-miR-139-3p,ZNF281,-1.21523697,-10.1524465831585
SFPQ,hsa-miR-139-3p,ZNF281,-18.52360334,-10.1524465831585
SFPQ,hsa-miR-139-3p,ZNF281,1.148820301,-10.1524465831585
