lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-1.677192173,-22.537306289714
SFPQ,hsa-miR-139-3p,JUN,33.12732121,-22.537306289714
SFPQ,hsa-miR-139-3p,JUN,-2.806266508,-22.537306289714
SFPQ,hsa-miR-139-3p,MIDN,-1.677192173,4.1176256418905
SFPQ,hsa-miR-139-3p,MIDN,33.12732121,4.1176256418905
SFPQ,hsa-miR-139-3p,MIDN,-2.806266508,4.1176256418905
SFPQ,hsa-miR-139-3p,CDS2,-1.677192173,9.0172744584561
SFPQ,hsa-miR-139-3p,CDS2,33.12732121,9.0172744584561
SFPQ,hsa-miR-139-3p,CDS2,-2.806266508,9.0172744584561
SFPQ,hsa-miR-139-3p,HNRNPF,-1.677192173,22.263179787609
SFPQ,hsa-miR-139-3p,HNRNPF,33.12732121,22.263179787609
SFPQ,hsa-miR-139-3p,HNRNPF,-2.806266508,22.263179787609
SFPQ,hsa-miR-139-3p,PTGES3,-1.677192173,50.3622628581845
SFPQ,hsa-miR-139-3p,PTGES3,33.12732121,50.3622628581845
SFPQ,hsa-miR-139-3p,PTGES3,-2.806266508,50.3622628581845
SFPQ,hsa-miR-139-3p,RTN4,-1.677192173,67.029825163046
SFPQ,hsa-miR-139-3p,RTN4,33.12732121,67.029825163046
SFPQ,hsa-miR-139-3p,RTN4,-2.806266508,67.029825163046
SFPQ,hsa-miR-139-3p,APP,-1.677192173,20.59623309625
SFPQ,hsa-miR-139-3p,APP,33.12732121,20.59623309625
SFPQ,hsa-miR-139-3p,APP,-2.806266508,20.59623309625
SFPQ,hsa-miR-139-3p,CKB,-1.677192173,1.1749718625831
SFPQ,hsa-miR-139-3p,CKB,33.12732121,1.1749718625831
SFPQ,hsa-miR-139-3p,CKB,-2.806266508,1.1749718625831
SFPQ,hsa-miR-139-3p,VIM,-1.677192173,343.42088722458
SFPQ,hsa-miR-139-3p,VIM,33.12732121,343.42088722458
SFPQ,hsa-miR-139-3p,VIM,-2.806266508,343.42088722458
SFPQ,hsa-miR-139-3p,LRPPRC,-1.677192173,27.290071028461
SFPQ,hsa-miR-139-3p,LRPPRC,33.12732121,27.290071028461
SFPQ,hsa-miR-139-3p,LRPPRC,-2.806266508,27.290071028461
SFPQ,hsa-miR-139-3p,ZNF281,-1.677192173,14.6320793481032
SFPQ,hsa-miR-139-3p,ZNF281,33.12732121,14.6320793481032
SFPQ,hsa-miR-139-3p,ZNF281,-2.806266508,14.6320793481032
SFPQ,hsa-miR-139-3p,NCKAP1,-1.677192173,2.4929279654737
SFPQ,hsa-miR-139-3p,NCKAP1,33.12732121,2.4929279654737
SFPQ,hsa-miR-139-3p,NCKAP1,-2.806266508,2.4929279654737
SFPQ,hsa-miR-139-3p,HMGB2,-1.677192173,7.7107317238141
SFPQ,hsa-miR-139-3p,HMGB2,33.12732121,7.7107317238141
SFPQ,hsa-miR-139-3p,HMGB2,-2.806266508,7.7107317238141
SFPQ,hsa-miR-139-3p,DUSP1,-1.677192173,-57.335589417538
SFPQ,hsa-miR-139-3p,DUSP1,33.12732121,-57.335589417538
SFPQ,hsa-miR-139-3p,DUSP1,-2.806266508,-57.335589417538
SFPQ,hsa-miR-139-3p,ZNF217,-1.677192173,22.245466593661
