lncRNA,miRNA,mRNA,lncRNA_log2FC,mRNA_log2FC
SFPQ,hsa-miR-139-3p,JUN,-2.46731524,31.186515776709
SFPQ,hsa-miR-139-3p,JUN,-3.59643587,31.186515776709
SFPQ,hsa-miR-139-3p,JUN,3.66390598,31.186515776709
SFPQ,hsa-miR-139-3p,MIDN,-2.46731524,1.0889544129169
SFPQ,hsa-miR-139-3p,MIDN,-3.59643587,1.0889544129169
SFPQ,hsa-miR-139-3p,MIDN,3.66390598,1.0889544129169
SFPQ,hsa-miR-139-3p,CDS2,-2.46731524,5.908926138967
SFPQ,hsa-miR-139-3p,CDS2,-3.59643587,5.908926138967
SFPQ,hsa-miR-139-3p,CDS2,3.66390598,5.908926138967
SFPQ,hsa-miR-139-3p,HNRNPF,-2.46731524,36.642506158972
SFPQ,hsa-miR-139-3p,HNRNPF,-3.59643587,36.642506158972
SFPQ,hsa-miR-139-3p,HNRNPF,3.66390598,36.642506158972
SFPQ,hsa-miR-139-3p,PTGES3,-2.46731524,12.13933377781
SFPQ,hsa-miR-139-3p,PTGES3,-3.59643587,12.13933377781
SFPQ,hsa-miR-139-3p,PTGES3,3.66390598,12.13933377781
SFPQ,hsa-miR-139-3p,RTN4,-2.46731524,32.631904032924
SFPQ,hsa-miR-139-3p,RTN4,-3.59643587,32.631904032924
SFPQ,hsa-miR-139-3p,RTN4,3.66390598,32.631904032924
SFPQ,hsa-miR-139-3p,APP,-2.46731524,30.538650934704
SFPQ,hsa-miR-139-3p,APP,-3.59643587,30.538650934704
SFPQ,hsa-miR-139-3p,APP,3.66390598,30.538650934704
SFPQ,hsa-miR-139-3p,CKB,-2.46731524,1.166274344384
SFPQ,hsa-miR-139-3p,CKB,-3.59643587,1.166274344384
SFPQ,hsa-miR-139-3p,CKB,3.66390598,1.166274344384
SFPQ,hsa-miR-139-3p,VIM,-2.46731524,262.11722308614
SFPQ,hsa-miR-139-3p,VIM,-3.59643587,262.11722308614
SFPQ,hsa-miR-139-3p,VIM,3.66390598,262.11722308614
SFPQ,hsa-miR-139-3p,LRPPRC,-2.46731524,28.568381663577
SFPQ,hsa-miR-139-3p,LRPPRC,-3.59643587,28.568381663577
SFPQ,hsa-miR-139-3p,LRPPRC,3.66390598,28.568381663577
SFPQ,hsa-miR-139-3p,ZNF281,-2.46731524,5.9904444559469
SFPQ,hsa-miR-139-3p,ZNF281,-3.59643587,5.9904444559469
SFPQ,hsa-miR-139-3p,ZNF281,3.66390598,5.9904444559469
SFPQ,hsa-miR-139-3p,NCKAP1,-2.46731524,-6.1738771539054
SFPQ,hsa-miR-139-3p,NCKAP1,-3.59643587,-6.1738771539054
SFPQ,hsa-miR-139-3p,NCKAP1,3.66390598,-6.1738771539054
SFPQ,hsa-miR-139-3p,HMGB2,-2.46731524,9.0705370349947
SFPQ,hsa-miR-139-3p,HMGB2,-3.59643587,9.0705370349947
SFPQ,hsa-miR-139-3p,HMGB2,3.66390598,9.0705370349947
SFPQ,hsa-miR-139-3p,DUSP1,-2.46731524,20.278147183742
SFPQ,hsa-miR-139-3p,DUSP1,-3.59643587,20.278147183742
SFPQ,hsa-miR-139-3p,DUSP1,3.66390598,20.278147183742
SFPQ,hsa-miR-139-3p,ZNF217,-2.46731524,11.301954248
SFPQ,hsa-miR-139-3p,ZNF217,-3.59643587,11.301954248
SFPQ,hsa-miR-139-3p,ZNF217,3.66390598,11.301954248
SFPQ,hsa-miR-139-3p,ZNF585B,-2.46731524,1.5491087229754
SFPQ,hsa-miR-139-3p,ZNF585B,-3.59643587,1.5491087229754
SFPQ,hsa-miR-139-3p,ZNF585B,3.66390598,1.5491087229754
SFPQ,hsa-miR-139-3p,NDRG4,-2.46731524,-1.97991984845089
SFPQ,hsa-miR-139-3p,NDRG4,-3.59643587,-1.97991984845089
SFPQ,hsa-miR-139-3p,NDRG4,3.66390598,-1.97991984845089
SFPQ,hsa-miR-139-3p,TMSB4X,-2.46731524,452.16201379355
SFPQ,hsa-miR-139-3p,TMSB4X,-3.59643587,452.16201379355
SFPQ,hsa-miR-139-3p,TMSB4X,3.66390598,452.16201379355
SFPQ,hsa-miR-139-3p,AZIN1,-2.46731524,31.150935565174
SFPQ,hsa-miR-139-3p,AZIN1,-3.59643587,31.150935565174
SFPQ,hsa-miR-139-3p,AZIN1,3.66390598,31.150935565174
SFPQ,hsa-miR-139-3p,CD164,-2.46731524,15.440801491459
SFPQ,hsa-miR-139-3p,CD164,-3.59643587,15.440801491459
SFPQ,hsa-miR-139-3p,CD164,3.66390598,15.440801491459
SFPQ,hsa-miR-139-3p,HNRNPU,-2.46731524,62.424030398067
SFPQ,hsa-miR-139-3p,HNRNPU,-3.59643587,62.424030398067
SFPQ,hsa-miR-139-3p,HNRNPU,3.66390598,62.424030398067
SFPQ,hsa-miR-139-3p,PNRC1,-2.46731524,-11.853744493601
SFPQ,hsa-miR-139-3p,PNRC1,-3.59643587,-11.853744493601
SFPQ,hsa-miR-139-3p,PNRC1,3.66390598,-11.853744493601
SFPQ,hsa-miR-139-3p,MCL1,-2.46731524,24.7589610891598
SFPQ,hsa-miR-139-3p,MCL1,-3.59643587,24.7589610891598
SFPQ,hsa-miR-139-3p,MCL1,3.66390598,24.7589610891598
SFPQ,hsa-miR-139-3p,YWHAQ,-2.46731524,35.533978311511
SFPQ,hsa-miR-139-3p,YWHAQ,-3.59643587,35.533978311511
SFPQ,hsa-miR-139-3p,YWHAQ,3.66390598,35.533978311511
SFPQ,hsa-miR-139-3p,KDM6B,-2.46731524,-2.9306704223455
SFPQ,hsa-miR-139-3p,KDM6B,-3.59643587,-2.9306704223455
SFPQ,hsa-miR-139-3p,KDM6B,3.66390598,-2.9306704223455
SFPQ,hsa-miR-139-3p,ATP1B1,-2.46731524,2.0378611067156
SFPQ,hsa-miR-139-3p,ATP1B1,-3.59643587,2.0378611067156
SFPQ,hsa-miR-139-3p,ATP1B1,3.66390598,2.0378611067156
